[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1336396175.953000 5/7/2012, 6:39:35 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 67

INFO, NAME, CeMg3
INFO, WEIGHT, 8.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, bar
INFO, COMMENT, H || [100]
INFO, SEQUENCE FILE: CeSi_MT.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1336408144.343,,1.000000e+003,2.054594e+002,1.530817e-004,0.000000e+000,3,9.777780e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.380676e-002,1.500000e+001,0,,0,
1336408313.406,,1.000000e+003,2.104640e+002,1.494664e-004,0.000000e+000,3,9.767438e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.680176e-002,1.500000e+001,0,,0,
1336408479.546,,1.000000e+003,2.154741e+002,1.470530e-004,0.000000e+000,3,9.771014e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.116028e-001,1.500000e+001,0,,0,
1336408646.734,,1.000000e+003,2.204715e+002,1.438479e-004,0.000000e+000,3,9.770212e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,8.489990e-002,1.500000e+001,0,,0,
1336408814.687,,1.000000e+003,2.254986e+002,1.409336e-004,0.000000e+000,3,9.765504e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,8.880615e-002,1.500000e+001,0,,0,
1336408982.109,,1.000000e+003,2.304855e+002,1.380031e-004,0.000000e+000,3,9.765264e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.044006e-001,1.500000e+001,0,,0,
1336409151.250,,1.000000e+003,2.354906e+002,1.356134e-004,0.000000e+000,3,9.769847e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.260132e-002,1.500000e+001,0,,0,
1336409320.078,,1.000000e+003,2.404887e+002,1.326532e-004,0.000000e+000,3,9.779729e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.579041e-002,1.500000e+001,0,,0,
1336409488.421,,1.000000e+003,2.454932e+002,1.300053e-004,0.000000e+000,3,9.771394e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.880066e-002,1.500000e+001,0,,0,
1336409657.031,,1.000000e+003,2.504839e+002,1.268194e-004,0.000000e+000,3,9.753701e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.166992e-001,1.500000e+001,0,,0,
